latency,type,problem
0,1,1
21.937,1,1
44.033,3,3
66.114,11,11
88.221,3,3
110.323,1,1
132.395,11,11
154.508,3,3
176.568,11,11
198.659,9,9
220.749,3,3
242.815,1,1
264.898,1,1
286.993,3,3
309.052,3,3
331.133,3,3
353.22,11,11
375.303,11,11
397.361,9,9
419.434,1,1
441.508,3,3
463.55,1,1
485.612,11,11
507.717,1,1
529.775,1,1
551.819,1,1
573.937,9,9
596.004,9,9
618.088,3,3
640.166,3,3
662.22,1,1
684.291,3,3
706.35,3,3
728.41,3,3
750.474,9,9
772.539,9,9
794.616,3,3
816.686,3,3
838.742,1,1
860.803,3,3
882.858,3,3
904.915,11,11
926.957,1,1
949.003,1,1
971.078,1,1
993.185,3,3
1015.223,1,1
1037.294,1,1
1059.391,1,1
1081.439,3,3
1103.49,1,1
1125.539,1,1
1147.63,1,1
1169.69,1,1
1191.75,3,3
1213.825,11,11
1553.639,7,7
1575.694,5,5
1597.793,7,7
1619.878,7,7
1641.916,13,13
1663.998,7,7
1686.101,5,5
1708.158,7,7
1730.265,5,5
1752.324,5,5
1774.389,7,7
1796.473,13,13
1818.558,5,5
1840.602,15,15
1862.663,5,5
1884.738,7,7
1906.806,5,5
1928.865,5,5
1950.931,7,7
1973.037,5,5
1995.083,15,15
2017.201,7,7
2039.302,7,7
2061.366,5,5
2083.436,5,5
2105.549,15,15
2127.622,13,13
2149.695,7,7
2171.794,7,7
2193.843,7,7
2215.914,5,5
2238.013,7,7
2260.078,7,7
2282.151,5,5
2304.257,5,5
2326.316,13,13
2348.378,5,5
2370.465,5,5
2392.527,13,13
2414.567,13,13
2436.646,7,7
2458.755,7,7
2480.792,15,15
2502.84,15,15
2524.924,13,13
2547.004,5,5
2569.079,7,7
2591.143,7,7
2613.229,7,7
2635.289,7,7
2657.331,5,5
2679.451,5,5
2701.524,5,5
2723.596,7,7
2745.676,7,7
2767.729,5,5
